heifer_101	heifer_103	heifer_107	heifer_108	heifer_111	heifer_113	heifer_114	heifer_115	heifer_116	heifer_117	heifer_119	heifer_120	heifer_121	heifer_92.	heifer_93.	heifer_94.	heifer_97.	heifer_99.
ENSBTAG00000006648	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049697	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
ENSBTAG00000047028	9	7	0	8	2	1	10	8	5	7	5	17	32	21	57	14	1	3
ENSBTAG00000053686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000001753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000020035	0	0	3	0	0	1	3	0	0	2	0	0	0	0	4	0	1	0
ENSBTAG00000005540	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSBTAG00000001150	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000026259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000013841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000011528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000026260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000012594	1	0	4	0	0	0	0	1	0	0	0	0	0	6	4	1	5	0
ENSBTAG00000049850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000018278	0	0	1	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0
ENSBTAG00000021997	1	0	0	0	3	0	0	1	0	0	4	0	0	1	0	2	2	0
ENSBTAG00000054338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053248	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSBTAG00000008490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000035175	0	0	0	0	0	0	0	0	0	0	1	4	0	0	2	0	0	0
ENSBTAG00000008482	6	2	5	9	0	5	3	6	2	9	10	9	2	17	22	3	4	9
ENSBTAG00000052933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000009188	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	2
ENSBTAG00000009187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000001258	0	0	3	0	0	1	0	0	0	1	3	0	0	0	4	0	1	0
ENSBTAG00000043399	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000012899	0	0	0	0	0	1	2	1	0	0	1	0	0	2	0	0	0	0
ENSBTAG00000021819	0	3	0	6	2	0	1	0	2	0	0	1	0	12	24	0	3	0
ENSBTAG00000019404	1	6	3	0	0	0	1	2	9	0	0	0	0	5	11	2	0	3
ENSBTAG00000015212	0	0	0	1	2	0	1	2	0	3	0	3	3	2	0	1	0	0
ENSBTAG00000051429	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	1	0	0
ENSBTAG00000051548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000037547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ENSBTAG00000043993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000003064	2	1	1	0	9	0	0	3	0	1	6	0	3	1	17	0	0	0
ENSBTAG00000003063	0	0	0	0	0	0	0	0	0	0	1	0	0	9	2	1	0	0
ENSBTAG00000035493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000003059	1	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017310	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000012412	3	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0
ENSBTAG00000023718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000016619	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
ENSBTAG00000020762	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000018855	2	1	6	0	1	0	0	2	0	7	2	3	1	6	5	3	3	3
ENSBTAG00000018854	3	2	0	0	5	0	0	0	0	2	0	0	0	2	0	0	0	0
ENSBTAG00000051337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000017839	1	2	4	0	0	0	0	0	0	0	0	0	0	3	7	0	0	0
ENSBTAG00000044299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046072	892	1046	1314	325	922	190	353	881	1084	1070	945	707	388	1722	2918	669	820	904
ENSBTAG00000048631	5	0	0	0	0	0	0	4	0	2	0	0	2	0	0	0	0	10
ENSBTAG00000034869	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000046804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000015812	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000048503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000049468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000044154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000045424	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052530	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000051544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000053953	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000054015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000039602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000050522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000037933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000055221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000052202	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ENSBTAG00000046384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000039820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000039255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000034854	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000042595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSBTAG00000004139	4	4	4	1	4	5	5	16	3	17	9	0	3	3	12	2	0	8
